datetime,PM2.5,PM10,SO2,NO2,CO,O3,TEMP,PRES,DEWP,RAIN,WSPM,PM2.5_lag_1h,PM2.5_lag_3h,PM2.5_lag_6h,PM2.5_lag_12h,PM2.5_lag_24h,PM2.5_roll_mean_3h,PM2.5_roll_std_3h,PM2.5_roll_mean_6h,PM2.5_roll_std_6h,PM2.5_roll_mean_12h,PM2.5_roll_std_12h,PM2.5_roll_mean_24h,PM2.5_roll_std_24h,hour,dayofweek,month,hour_sin,hour_cos,month_sin,month_cos,wd_ENE,wd_ESE,wd_N,wd_NE,wd_NNE,wd_NNW,wd_NW,wd_S,wd_SE,wd_SSE,wd_SSW,wd_SW,wd_W,wd_WNW,wd_WSW
2013-03-02 00:00:00,22.0,24.0,24.0,44.0,500.0,44.0,-0.4,1031.0,-17.6,0.0,1.4,24.0,12.0,11.0,3.0,4.0,20.333333333333332,4.725815626252609,15.333333333333334,6.377042156569662,11.583333333333334,6.14163634300314,7.875,5.8332815732693275,0,5,3,0.0,1.0,1.0,6.123233995736766e-17,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2013-03-02 01:00:00,14.0,17.0,21.0,36.0,400.0,50.0,-1.0,1031.3,-17.3,0.0,1.1,22.0,15.0,8.0,3.0,8.0,20.0,5.291502622129181,16.333333333333332,5.3913510984415245,12.5,5.535012523595917,8.125,5.965935911853883,1,5,3,0.25881904510252074,0.9659258262890683,1.0,6.123233995736766e-17,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
2013-03-02 02:00:00,13.0,13.0,20.0,37.0,400.0,47.0,-1.5,1030.9,-16.9,0.0,1.7,14.0,24.0,11.0,6.0,7.0,16.333333333333332,4.932882862316248,16.666666666666668,5.04645089807348,13.083333333333334,5.142661732699294,8.375,6.041972755864486,2,5,3,0.49999999999999994,0.8660254037844387,1.0,6.123233995736766e-17,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2013-03-02 03:00:00,3.0,9.0,13.0,34.0,400.0,52.0,-1.4,1030.6,-17.6,0.0,1.4,13.0,22.0,12.0,8.0,6.0,10.0,6.082762530298218,15.166666666666666,7.467708260682565,12.666666666666666,5.757735244999996,8.25,6.123724356957945,3,5,3,0.7071067811865476,0.7071067811865476,1.0,6.123233995736766e-17,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
2013-03-02 04:00:00,3.0,7.0,18.0,43.0,400.0,43.0,-1.5,1030.8,-17.7,0.0,0.9,3.0,14.0,15.0,9.0,3.0,6.333333333333333,5.773502691896254,13.166666666666666,8.975893641675276,12.166666666666666,6.3365223231292385,8.25,6.123724356957945,4,5,3,0.8660254037844386,0.5000000000000001,1.0,6.123233995736766e-17,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
2013-03-02 05:00:00,9.0,11.0,19.0,70.0,500.0,20.0,-1.8,1030.1,-17.5,0.0,2.0,3.0,13.0,24.0,10.0,5.0,5.0,3.4641016151377473,10.666666666666666,7.284687135812123,12.083333333333334,6.374071530724132,8.416666666666666,6.085740044074999,5,5,3,0.9659258262890683,0.25881904510252074,1.0,6.123233995736766e-17,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
2013-03-02 06:00:00,4.0,10.0,28.0,46.0,500.0,39.0,-2.5,1029.6,-17.7,0.0,0.7,9.0,3.0,22.0,11.0,3.0,5.333333333333333,3.2145502536643105,7.666666666666667,5.0464508980734815,11.5,6.789028582272216,8.458333333333334,6.050362307992061,6,5,3,1.0,6.123233995736766e-17,1.0,6.123233995736766e-17,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
2013-03-02 07:00:00,3.0,11.0,34.0,58.0,500.0,27.0,-1.7,1029.8,-17.0,0.0,1.2,4.0,3.0,14.0,8.0,3.0,5.333333333333333,3.2145502536643105,5.833333333333333,4.215052391924288,11.083333333333334,7.1663142971865685,8.458333333333334,6.05036230799206,7,5,3,0.9659258262890683,-0.25881904510252063,1.0,6.123233995736766e-17,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
2013-03-02 08:00:00,3.0,7.0,21.0,49.0,500.0,43.0,-0.4,1029.6,-17.6,0.0,1.8,3.0,9.0,13.0,11.0,3.0,3.3333333333333335,0.5773502691895696,4.166666666666667,2.401388487243717,10.416666666666666,7.537281078784716,8.458333333333334,6.05036230799206,8,5,3,0.8660254037844387,-0.4999999999999998,1.0,6.123233995736766e-17,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
2013-03-02 09:00:00,10.0,14.0,47.0,62.0,700.0,29.0,0.6,1029.7,-16.7,0.0,1.7,3.0,4.0,3.0,12.0,3.0,5.333333333333333,4.041451884327374,5.333333333333333,3.2659863237109037,10.25,7.521182208814107,8.75,5.943575267170572,9,5,3,0.7071067811865476,-0.7071067811865475,1.0,6.123233995736766e-17,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
